Dest,DrivingMiles,EuclidMiles,Orig
EMBR,0,8.987508228344696,COLM
FRMT,0,39.37396580327265,COLM
FTVL,0,19.041725755572973,COLM
GLEN,0,4.153634867533319,COLM
HAYW,0,29.433455653981845,COLM
LAFY,0,26.86418760360368,COLM
LAKE,0,16.29742508527405,COLM
MCAR,0,17.638344828088986,COLM
MLBR,0,7.320667229264136,COLM
MONT,0,8.625553744157395,COLM
NBRK,0,21.39689931167829,COLM
NCON,0,37.25568994055281,COLM
ORIN,0,23.425057401646306,COLM
PITT,0,41.722935361089526,COLM
PHIL,0,31.74870458787766,COLM
POWL,0,8.206620549721519,COLM
RICH,0,27.528250164272524,COLM
ROCK,0,19.037930686772242,COLM
SBRN,0,4.246088307487109,COLM
SFIA,0,6.229395944334063,COLM
SANL,0,24.035828506387784,COLM
SHAY,0,32.401518060296,COLM
SSAN,0,1.8605692675855503,COLM
UCTY,0,36.11336180383955,COLM
WCRK,0,30.058743089092868,COLM
WDUB,0,37.56387566644119,COLM
WOAK,0,14.636155099812399,COLM
12TH,0,19.30823140772951,CONC
16TH,0,28.579845172178743,CONC
19TH,0,18.98574189807734,CONC
24TH,0,29.465732208854337,CONC
ASHB,0,19.268342465289766,CONC
BALB,0,32.09976318724421,CONC
BAYF,0,30.16086960668059,CONC
CAST,0,33.00722856101804,CONC
CIVC,0,27.530539578671938,CONC
COLS,0,24.65786994736864,CONC
COLM,0,35.20371598303364,CONC
CONC,0,0,CONC
DALY,0,33.71394471578342,CONC
DBRK,0,20.43384437539953,CONC
DUBL,0,42.63804402782148,CONC
DELN,0,25.346898378221503,CONC
PLZA,0,23.504137100512555,CONC
EMBR,0,26.21620775468871,CONC
FRMT,0,42.922632636427906,CONC
FTVL,0,22.590392588728236,CONC
GLEN,0,31.05008111550032,CONC
HAYW,0,32.982122487137104,CONC
LAFY,0,8.339528379429565,CONC
LAKE,0,19.846091918429313,CONC
MCAR,0,17.565371154944152,CONC
MLBR,0,42.52438321229778,CONC
MONT,0,26.578162238876,CONC
NBRK,0,21.323925638533453,CONC
NCON,0,2.0519739575192815,CONC
ORIN,0,11.778658581387024,CONC
PITT,0,6.519219378055997,CONC
PHIL,0,3.455011395155711,CONC
POWL,0,26.997095433311728,CONC
RICH,0,27.455276491127687,CONC
ROCK,0,16.165785296261035,CONC
SBRN,0,39.44980429052075,CONC
SFIA,0,41.433111927367705,CONC
SANL,0,27.584495339543047,CONC
SHAY,0,35.95018489345126,CONC
SSAN,0,37.06428525061919,CONC
UCTY,0,39.66202863699481,CONC
WCRK,0,5.144972893940371,CONC
WDUB,0,41.112542499596444,CONC
WOAK,0,20.567560883221002,CONC
12TH,0,14.40571330805366,DALY
16TH,0,5.134099543604489,DALY
19TH,0,14.728202817705634,DALY
24TH,0,4.248212506928946,DALY
ASHB,0,17.85154487118437,DALY
BALB,0,1.6141815285391696,DALY
BAYF,0,25.122431506275095,DALY
CAST,0,27.96879046061255,DALY
CIVC,0,6.183405137111084,DALY
COLS,0,19.619431846963145,DALY
COLM,0,1.4897712672502181,DALY
CONC,0,33.713944715783306,DALY
DALY,0,0,DALY
DBRK,0,19.017046781294134,DALY
DUBL,0,37.59960592741599,DALY
DELN,0,23.930100784116107,DALY
PLZA,0,22.087339506407158,DALY
EMBR,0,7.497736961094467,DALY
FRMT,0,37.88419453602241,DALY
FTVL,0,17.551954488322743,DALY
GLEN,0,2.6638636002830904,DALY
HAYW,0,27.94368438673161,DALY
LAFY,0,25.374416336353452,DALY
LAKE,0,14.80765381802382,DALY
MCAR,0,16.148573560838756,DALY
MLBR,0,8.810438496514355,DALY
MONT,0,7.135782476907167,DALY
NBRK,0,19.907128044428056,DALY
NCON,0,35.765918673302586,DALY
ORIN,0,21.93528613439608,DALY
PITT,0,40.2331640938393,DALY
PHIL,0,30.258933320627435,DALY
POWL,0,6.716849282471291,DALY
RICH,0,26.03847889702229,DALY
ROCK,0,17.548159419522012,DALY
SBRN,0,5.7358595747373275,DALY
SFIA,0,7.719167211584281,DALY
SANL,0,22.546057239137554,DALY
SHAY,0,30.911746793045765,DALY
SSAN,0,3.3503405348357687,DALY
UCTY,0,34.62359053658932,DALY
WCRK,0,28.56897182184264,DALY
WDUB,0,36.07410439919096,DALY
WOAK,0,13.14638383256217,DALY
12TH,0,4.611333473240682,DBRK
16TH,0,13.882947237689915,DBRK
19TH,0,4.288843963588511,DBRK
24TH,0,14.76883427436551,DBRK
ASHB,0,1.1655019101095183,DBRK
BALB,0,17.40286525275538,DBRK
BAYF,0,15.46397167219176,DBRK
CAST,0,18.310330626529215,DBRK
CIVC,0,12.833641644183109,DBRK
COLS,0,9.960972012879811,DBRK
COLM,0,20.50681804854481,DBRK
CONC,0,20.433844375399865,DBRK
DALY,0,19.017046781294592,DBRK
DBRK,0,0,DBRK
DUBL,0,27.94114609333266,DBRK
DELN,0,4.913054002821973,DBRK
PLZA,0,3.0702927251130228,DBRK
EMBR,0,11.519309820199881,DBRK
FRMT,0,28.22573470193909,DBRK
FTVL,0,7.893494654239407,DBRK
GLEN,0,16.35318318101149,DBRK
HAYW,0,18.28522455264828,DBRK
