Station Pair ID,From,To,Miles, Fare ,Self,Airport,FromBaySide,ToBaySide,TransBay,SanMateo
59,16th St.,Embarcadero,2.59,1.75,0,0,W,W,0,0
60,16th St.,Fremont,38.99,5.7,0,0,W,E,1,0
61,16th St.,Fruitvale,15.65,3.7,0,0,W,E,1,0
62,16th St.,Glen Park,2.84,1.75,0,0,W,W,0,0
63,16th St.,Hayward,26.51,4.7,0,0,W,E,1,0
64,16th St.,Lafayette,21.6,4.55,0,0,W,E,1,0
65,16th St.,Lake Merritt,13.33,3.3,0,0,W,E,1,0
66,16th St.,MacArthur,10.94,3.5,0,0,W,E,1,0
67,16th St.,Millbrae,14.08,4.25,0,0,W,W,0,1
68,16th St.,Montgomery,3.19,1.75,0,0,W,W,0,0
69,16th St.,North Berkeley,13.5,3.85,0,0,W,E,1,0
70,16th St.,North Concord,33.15,5.6,0,0,W,E,1,0
71,16th St.,Orinda,17.89,4.25,0,0,W,E,1,0
72,16th St.,Pittsburg/Bay Pt,37.63,6.1,0,0,W,E,1,0
73,16th St.,Pleasant Hill,26.47,5.05,0,0,W,E,1,0
74,16th St.,Powell,1.81,1.75,0,0,W,W,0,0
75,16th St.,Richmond,18.08,4.35,0,0,W,E,1,0
76,16th St.,Rockridge,12.66,3.7,0,0,W,E,1,0
77,16th St.,San Bruno,12.65,3.8,0,0,W,W,0,1
78,16th St.,SFIA,13.55,8.15,0,1,W,W,0,0
79,16th St.,San Leandro,21.08,4.2,0,0,W,E,1,0
80,16th St.,South Hayward,29.85,4.95,0,0,W,E,1,0
81,16th St.,South SF,11.98,3.45,0,0,W,W,0,1
82,16th St.,Union City,33.23,5.4,0,0,W,E,1,0
83,16th St.,Walnut Creek,24.81,4.9,0,0,W,E,1,0
84,16th St.,West Dublin,35.31,5.55,0,0,W,E,1,0
85,16th St.,West Oakland,10.77,3.15,0,0,W,E,1,0
86,19th St.,12th St.,0.36,1.75,0,0,E,E,0,0
87,19th St.,16th St.,12.08,3.3,0,0,E,W,1,0
88,19th St.,24th St.,13.22,3.4,0,0,E,W,1,0
89,19th St.,Ashby,3.57,1.75,0,0,E,E,0,0
90,19th St.,Balboa Park,15.83,3.75,0,0,E,W,1,0
91,19th St.,Bay Fair,13.16,2.65,0,0,E,E,0,0
92,19th St.,Castro Valley,16.27,3.05,0,0,E,E,0,0
93,19th St.,Civic Center,10.79,3.15,0,0,E,W,1,0
94,19th St.,Coliseum,6.7,1.75,0,0,E,E,0,0
95,19th St.,Colma,18.8,3.85,0,0,E,W,1,1
96,19th St.,Concord,21.46,3.7,0,0,E,E,0,0
97,19th St.,Daly City,17.87,3.85,0,0,E,W,1,1
98,19th St.,Berkeley,4.76,1.75,0,0,E,E,0,0
99,19th St.,Dublin/Pleasanton,26.23,4.05,0,0,E,E,0,0
100,19th St.,El Cerrito del Norte,10.1,2.35,0,0,E,E,0,0
101,19th St.,El Cerrito Plaza,8.79,2.1,0,0,E,E,0,0
102,19th St.,Embarcadero,10.05,3.15,0,0,E,W,1,0
103,19th St.,Fremont,27.74,4.05,0,0,E,E,0,0
